X1,move,correct,movementTime,soccerTeam,game,phase,playerAlias,totalCorrect,groupCode,sequExecuted,optionChosen
9,10,TRUE,0.900147,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
10,11,TRUE,0.616333,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
11,12,TRUE,0.934509,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
12,13,TRUE,0.483154,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
13,14,TRUE,0.832886,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
14,15,TRUE,1.416321,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
15,16,TRUE,21.04883,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
16,17,TRUE,0.44989,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
17,18,TRUE,0.633911,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
18,19,TRUE,0.916565,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
19,20,TRUE,0.583435,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,1
20,21,FALSE,1.015991,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,2
21,22,TRUE,2.517517,ELD,JG,3,Matheus,89,ELD2018,011012012012012012011012012012011012012012011011012012012012011012011011012012012011012012012012012012,0
